date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:00:36	193/193	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Sun,%2005%20Mar%202023%2010:00:35%20GMT	https://cdn.jsdelivr.net/npm/@walletconnect/web3-provider@1.7.1/dist/umd/index.min.js	/home/tillystack/websites/oasis/cdn.jsdelivr.net/npm/@walletconnect/web3-provider@1.7.1/dist/umd/index.min.js	(from https://oasis-app.surge.sh/)
05:00:37	193/193	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Sun,%2005%20Mar%202023%2010:00:36%20GMT	https://cdn.jsdelivr.net/npm/@emailjs/browser@3/dist/email.min.js	/home/tillystack/websites/oasis/cdn.jsdelivr.net/npm/@emailjs/browser@3/dist/email.min.js	(from https://oasis-app.surge.sh/)
05:00:37	99632/99632	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-18530%22	https://rsms.me/inter/font-files/Inter-Thin.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-Thin3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:37	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2005%20Mar%202023%2010:00:36%20GMT	https://oasis.app/static/img/tokens/maker_dai.png	/home/tillystack/websites/oasis/oasis.app/static/img/tokens/maker_dai.png	(from https://oasis-app.surge.sh/)
05:00:39	2870743/2870743	UR-MCZ	200	added ('OK')	application/javascript	etag:%222bcdd7-SdAMf+dASKAeGC9CCSphNlL2Usg%22	https://unpkg.com/moralis-v1@1.12.0/dist/moralis.js	/home/tillystack/websites/oasis/unpkg.com/moralis-v1@1.12.0/dist/moralis.js	(from https://oasis-app.surge.sh/)
05:00:39	106496/106496	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1a000%22	https://rsms.me/inter/font-files/Inter-ThinItalic.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-ThinItalic3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:39	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2005%20Mar%202023%2010:00:38%20GMT	https://oasis.app/static/img/tokens/uni_old_dai_usdc.png	/home/tillystack/websites/oasis/oasis.app/static/img/tokens/uni_old_dai_usdc.png	(from https://oasis-app.surge.sh/)
05:00:39	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2005%20Mar%202023%2010:00:39%20GMT	https://oasis.app/static/img/tokens/Aave_stETH.png	/home/tillystack/websites/oasis/oasis.app/static/img/tokens/Aave_stETH.png	(from https://oasis-app.surge.sh/)
05:00:40	104232/104232	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-19728%22	https://rsms.me/inter/font-files/Inter-ExtraLight.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-ExtraLight3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:41	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2005%20Mar%202023%2010:00:40%20GMT	https://oasis.app/static/img/tokens/uni_old_dai_usdc.gif	/home/tillystack/websites/oasis/oasis.app/static/img/tokens/uni_old_dai_usdc.gif	(from https://oasis-app.surge.sh/)
05:00:41	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2005%20Mar%202023%2010:00:40%20GMT	https://oasis.app/static/img/tokens/maker_eth.png	/home/tillystack/websites/oasis/oasis.app/static/img/tokens/maker_eth.png	(from https://oasis-app.surge.sh/)
05:00:41	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2005%20Mar%202023%2010:00:41%20GMT	https://oasis.app/static/img/tokens/maker_wbtc.png	/home/tillystack/websites/oasis/oasis.app/static/img/tokens/maker_wbtc.png	(from https://oasis-app.surge.sh/)
05:00:42	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2005%20Mar%202023%2010:00:41%20GMT	https://oasis.app/static/img/background/bottom_bg.png	/home/tillystack/websites/oasis/oasis.app/static/img/background/bottom_bg.png	(from https://oasis-app.surge.sh/)
05:00:43	106496/106496	URF---	200	added ('OK%20(cached)')	application/woff2		https://rsms.me/inter/font-files/Inter-ThinItalic.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-ThinItalic3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:43	99632/99632	URF---	200	added ('OK%20(cached)')	application/woff2		https://rsms.me/inter/font-files/Inter-Thin.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-Thin3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:43	104232/104232	URF---	200	added ('OK%20(cached)')	application/woff2		https://rsms.me/inter/font-files/Inter-ExtraLight.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-ExtraLight3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:44	111392/111392	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1b320%22	https://rsms.me/inter/font-files/Inter-ExtraLightItalic.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-ExtraLightItalic3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:46	104332/104332	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1978c%22	https://rsms.me/inter/font-files/Inter-Light.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-Light3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:46	111332/111332	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1b2e4%22	https://rsms.me/inter/font-files/Inter-LightItalic.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-LightItalic3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:47	98868/98868	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-18234%22	https://rsms.me/inter/font-files/Inter-Regular.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-Regular3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:47	106876/106876	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1a17c%22	https://rsms.me/inter/font-files/Inter-Italic.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-Italic3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:48	105924/105924	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-19dc4%22	https://rsms.me/inter/font-files/Inter-Medium.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-Medium3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:49	106876/106876	URF---	200	added ('OK%20(cached)')	application/woff2		https://rsms.me/inter/font-files/Inter-Italic.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-Italic3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:49	98868/98868	URF---	200	added ('OK%20(cached)')	application/woff2		https://rsms.me/inter/font-files/Inter-Regular.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-Regular3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:50	112184/112184	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1b638%22	https://rsms.me/inter/font-files/Inter-MediumItalic.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-MediumItalic3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:51	112048/112048	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1b5b0%22	https://rsms.me/inter/font-files/Inter-SemiBoldItalic.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-SemiBoldItalic3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:52	105804/105804	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-19d4c%22	https://rsms.me/inter/font-files/Inter-SemiBold.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-SemiBold3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:53	106140/106140	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-19e9c%22	https://rsms.me/inter/font-files/Inter-Bold.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-Bold3535.woff2	(from https://rsms.me/inter/inter.css)
05:00:54	111808/111808	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1b4c0%22	https://rsms.me/inter/font-files/Inter-BoldItalic.woff2?v=3.19	/home/tillystack/websites/oasis/rsms.me/inter/font-files/Inter-BoldItalic3535.woff2	(from https://rsms.me/inter/inter.css)
